Evolution Environment	Clone	fitness in SC	replicate deviations SC	fitness in .8 M	replicate deviations .8 M	fitness in .4 M	replicate deviations .4 M	fitness in .2 M	replicate deviations .2 M	fitness in 21 C	replicate deviations 21 C	fitness in 34 C	replicate deviations 34 C	fitness in 37 C	replicate deviations 37 C	fitness in pH 3	replicate deviations pH 3	fitness in pH 3.8	replicate deviations pH 3.8	fitness in pH 6	replicate deviations pH 6	fitness in pH 7.3	replicate deviations pH 7.3	fitness in .07% glu	replicate deviations .07% glu	fitness in .4% glu	replicate deviations .4% glu	fitness in gal	replicate deviations gal	fitness in med eth	replicate deviations med eth	killer virus status	number of generations of evolution	Ploidy
Evolved in 21 C	clone19	0.0076	0.0139,0.0033,-0.0172	-0.0132	-0.0102,0.017,-0.0067	NA	NA	NA	NA	0.0549	0.0006,-0.0093,0.0088	-0.0183	0.0061,-0.0053,-0.0008	0.0334	0.0044,-0.0029,-0.0015	0.0446	-0.0043,-0.0031,0.0074	NA	NA	NA	NA	0.0106	-0.0032,-0.004,0.0072	0.022	-0.0019,-0.0065,0.0085	NA	NA	0.0553	0.0086,-0.0019,-0.0067	NA	NA	Virus retained	612	Diploid
Evolved in 21 C	clone20	-0.0014	0.0015,0.0013,-0.0028	0.0003	-0.0017,-0.0023,0.0039	NA	NA	NA	NA	-0.0002	-0.0036,-0.0018,0.0054	-0.0004	-0.0009,0.0015,-0.0007	0.0051	-0.0037,0.0019,0.0018	-0.0018	0.0035,0.0008,-0.0043	NA	NA	NA	NA	-0.015	0.0019,-0.0014,-0.0005	-0.0023	-0.0064,0.0023,0.0042	NA	NA	-0.0012	-0.0064,0.0026,0.0038	NA	NA	Virus retained	612	Haploid
Evolved in gal	clone1	0.0033	0.0017,0.0011,-0.0027	-0.0064	-0.0038,0.0016,0.0022	NA	NA	NA	NA	-0.0005	0.0009,-0.0022,0.0012	NA	NA	0.0093	0.0021,-0.001,-0.0012	-0.0028	0.002,-0.0001,-0.0019	NA	NA	NA	NA	-0.0191	-0.0078,0.0063,0.0015	0.0572	-0.0003,-0.0037,0.004	NA	NA	0.0032	0.0014,-0.0015,0.0001	NA	NA	Virus retained	612	Haploid
Evolved in gal	clone2	-0.0063	0.0077,0.0075,-0.0151	-0.005	0.0065,0.0031,-0.0096	NA	NA	NA	NA	0.0404	-0.0053,-0.0031,0.0083	NA	NA	0.0215	-0.0036,0.0031,0.0005	0.0329	-0.0025,0.0016,0.0009	NA	NA	NA	NA	0.0025	-0.005,-0.0032,0.0081	0.015	0.0011,-0.0018,0.0007	NA	NA	0.051	0.0117,-0.0062,-0.0056	NA	NA	Virus retained	612	Diploid
Evolved in gal	clone3	-0.0062	0.0014,-0.0005,-0.0009	-0.0113	-0.003,-0.0009,0.0039	NA	NA	NA	NA	-0.0149	0.0045,-0.0002,-0.0044	NA	NA	0.0022	-0.0018,0.001,0.0008	-0.0043	0.0096,-0.0019,-0.0076	NA	NA	NA	NA	-0.0238	-0.0034,0.0035,-0.0001	0.0316	-0.001,-0.0016,0.0026	NA	NA	0.0032	-0.002,-0.0024,0.0044	NA	NA	Virus retained	612	Haploid
Evolved in gal	clone4	-0.0093	0.0049,0.0045,-0.0094	-0.002	0.0042,0.0065,-0.0107	NA	NA	NA	NA	0.013	-0.0023,-0.005,0.0073	NA	NA	0.0106	0.0019,-0.0008,-0.0011	0.0322	-0.0101,0.0031,0.007	NA	NA	NA	NA	-0.0237	-0.0045,-0.0006,0.0051	0.0308	-0.0017,-0.0002,0.0018	NA	NA	0.0577	0.001,0.0052,-0.0062	NA	NA	Virus retained	612	Diploid
Evolved in gal	clone5	0.007	0.0065,-0.0327,0.0261	0.0244	-0.0593,0.0093,0.05	NA	NA	NA	NA	-0.0542	0.0084,-0.0253,0.0169	NA	NA	-0.0209	0.0179,-0.0063,-0.0116	-0.0256	0.0828,0.0169,-0.0997	NA	NA	NA	NA	-0.0193	0.0149,-0.0538,0.0388	0.0248	-0.0016,-0.001,0.0026	NA	NA	-0.0487	0.0176,0.0008,-0.0185	NA	NA	Virus retained	612	Diploid
Evolved in gal	clone6	0.0161	-0.0015,0.0076,-0.0061	-0.0637	-0.0049,-0.0008,0.0057	NA	NA	NA	NA	0.0101	-0.0021,0.0003,0.0017	NA	NA	0.0127	-0.0007,-0.0014,0.0021	0.0293	0.007,0.0014,-0.0084	NA	NA	NA	NA	-0.0263	0.0057,-0.0029,-0.0027	0.047	0.0002,-0.0016,0.0013	NA	NA	0.0195	0.0013,0.0006,-0.0019	NA	NA	Virus retained	612	Haploid
Evolved in gal	clone7	0.0096	0.0029,0.0008,-0.0037	-0.0506	-0.0165,0.0042,0.0124	NA	NA	NA	NA	0.0022	0.0018,-0.0048,0.0029	NA	NA	-0.0263	-0.0079,0.0081,-0.0002	0.0056	0.003,0.0016,-0.0046	NA	NA	NA	NA	-0.0081	0.0025,0.002,-0.0046	-0.0017	0.0019,-0.0007,-0.0011	NA	NA	0.0177	-0.0024,-0.0011,0.0036	NA	NA	Virus retained	612	Haploid
Evolved in gal	clone8	-0.0088	-0.0028,0.003,-0.0002	-0.0081	-0.0301,0.0221,0.008	NA	NA	NA	NA	-0.0124	0.0065,0.0026,-0.009	NA	NA	0.0266	0.0006,-0.0005,-0.0001	0.0387	0.0043,-0.0027,-0.0016	NA	NA	NA	NA	-0.0412	0.0087,-0.0004,-0.0083	0.0275	-0.0034,0.0025,0.0009	NA	NA	0.0045	-0.0052,0.004,0.0012	NA	NA	Virus retained	612	Haploid
Evolved in gal	clone9	-0.1113	-0.0061,0.0061,-0.0001	-0.0379	0.0004,-0.0022,0.0018	NA	NA	NA	NA	-0.1157	0.0308,-0.0478,0.0169	NA	NA	0.016	0.0007,-0.0027,0.002	0.0059	0.001,0.0001,-0.0011	NA	NA	NA	NA	0.0203	-0.0025,-0.0009,0.0034	0.0637	0.0004,0.0002,-0.0006	NA	NA	-0.1206	-0.0139,-0.0064,0.0203	NA	NA	Virus lost	612	Haploid
Evolved in gal	clone10	0.0112	0.003,0.0008,-0.0038	0.012	-0.0085,0.0086,-0.0001	NA	NA	NA	NA	0.0076	-0.0035,-0.0032,0.0067	NA	NA	0.0319	0.003,-0.0024,-0.0006	0.0362	-0.0045,0.0024,0.0021	NA	NA	NA	NA	-0.0254	-0.0106,0.0,0.0106	0.0387	0.0007,-0.0005,-0.0002	NA	NA	0.0236	0.008,-0.0049,-0.0031	NA	NA	Virus retained	612	Haploid
Evolved in gal	clone11	-0.0032	0.0044,0.0061,-0.0106	-0.0253	0.0014,0.0086,-0.01	NA	NA	NA	NA	0.0396	-0.0117,0.0003,0.0114	NA	NA	0.0312	0.0041,-0.0033,-0.0008	0.0429	0.0017,-0.0043,0.0026	NA	NA	NA	NA	-0.0004	-0.0055,0.0099,-0.0045	0.0011	-0.0042,0.0012,0.003	NA	NA	0.0489	0.0079,-0.005,-0.0028	NA	NA	Virus retained	612	Diploid
Evolved in gal	clone12	0.0102	0.0059,0.0079,-0.0138	-0.065	-0.0046,0.0084,-0.0038	NA	NA	NA	NA	0.0387	-0.0038,-0.0011,0.0049	NA	NA	-0.0074	-0.0127,0.0152,-0.0025	0.027	-0.0067,-0.0008,0.0075	NA	NA	NA	NA	-0.0791	-0.0061,-0.0096,0.0157	0.0187	-0.0004,0.0019,-0.0016	NA	NA	0.064	0.0106,-0.0001,-0.0104	NA	NA	Virus retained	612	Diploid
Evolved in gal	clone13	0.0039	0.0033,-0.0038,0.0006	-0.0025	-0.0022,0.0021,0.0001	NA	NA	NA	NA	-0.0031	0.0029,0.0026,-0.0056	NA	NA	0.0031	-0.0003,-0.004,0.0043	-0.0039	-0.001,0.0024,-0.0015	NA	NA	NA	NA	-0.0095	0.004,-0.0015,-0.0025	0.0434	-0.0073,0.0029,0.0044	NA	NA	0.0102	0.001,-0.0005,-0.0005	NA	NA	Virus retained	612	Haploid
Evolved in gal	clone14	0.0078	0.0117,0.0065,-0.0183	-0.0156	0.0039,0.0017,-0.0057	NA	NA	NA	NA	0.0366	-0.0068,-0.0005,0.0073	NA	NA	0.0269	-0.0008,0.0033,-0.0025	0.0427	-0.0052,0.0053,-0.0001	NA	NA	NA	NA	0.0079	-0.0043,-0.0045,0.0088	0.0481	0.0009,-0.0033,0.0024	NA	NA	0.0512	0.0081,-0.002,-0.0061	NA	NA	Virus retained	612	Diploid
Evolved in gal	clone15	-0.0018	-0.0027,0.0029,-0.0002	-0.0234	0.0023,0.0007,-0.003	NA	NA	NA	NA	-0.0036	0.0011,-0.0006,-0.0005	NA	NA	0.014	-0.0015,0.0004,0.0011	0.0076	0.0001,0.0018,-0.0019	NA	NA	NA	NA	0.0025	-0.0004,-0.0025,0.0029	0.0351	-0.0013,-0.0012,0.0024	NA	NA	0.0067	0.0021,-0.0029,0.0009	NA	NA	Virus retained	612	Haploid
Evolved in gal	clone17	-0.0042	0.0073,0.0023,-0.0096	-0.0096	0.0008,0.0096,-0.0103	NA	NA	NA	NA	0.0397	-0.0022,-0.0058,0.0081	NA	NA	0.0248	0.0076,-0.0024,-0.0053	0.0318	-0.0038,0.0024,0.0014	NA	NA	NA	NA	-0.0052	0.0,-0.0076,0.0076	0.0342	0.0037,-0.0076,0.0039	NA	NA	0.0449	0.0051,-0.0013,-0.0039	NA	NA	Virus retained	612	Diploid
Evolved in gal	clone18	0.0027	0.0004,-0.0018,0.0014	-0.0322	-0.0067,0.0065,0.0002	NA	NA	NA	NA	0.0051	-0.0025,0.0039,-0.0013	NA	NA	0.0046	0.0035,-0.0007,-0.0029	0.005	0.0015,0.0006,-0.0021	NA	NA	NA	NA	0.0103	-0.0028,-0.0056,0.0084	0.0479	-0.0033,-0.0026,0.0059	NA	NA	0.0098	0.0005,-0.0002,-0.0003	NA	NA	Virus retained	612	Haploid
Evolved in gal	clone19	-0.0063	0.0006,0.001,-0.0017	-0.0199	-0.0018,0.0035,-0.0017	NA	NA	NA	NA	-0.0141	0.0001,-0.0,-0.0	NA	NA	0.0123	-0.0004,0.0042,-0.0037	0.0076	-0.0022,0.0038,-0.0016	NA	NA	NA	NA	-0.0059	-0.0003,0.0007,-0.0005	0.0304	-0.0021,0.0005,0.0016	NA	NA	0.0046	-0.0023,0.0038,-0.0015	NA	NA	Virus retained	612	Haploid
Evolved in gal	clone20	-0.0727	0.018,-0.0025,-0.0155	-0.0753	-0.0067,-0.0002,0.0069	NA	NA	NA	NA	-0.1394	0.0421,-0.0242,-0.018	NA	NA	0.0294	0.0027,-0.0005,-0.0023	0.021	0.0035,0.0001,-0.0035	NA	NA	NA	NA	0.0104	-0.0043,0.0046,-0.0003	0.042	-0.0012,-0.0008,0.002	NA	NA	-0.0588	-0.011,-0.0061,0.0171	NA	NA	Virus lost	612	Haploid
Evolved in pH 3	clone1	-0.1068	-0.0063,0.0036,0.0028	-0.0764	-0.0054,0.0053,0.0001	NA	NA	NA	NA	-0.1297	0.024,-0.0297,0.0056	NA	NA	-0.0599	0.0026,0.0059,-0.0085	0.0018	0.0005,-0.0022,0.0016	-0.1517	-0.0101,0.0404,-0.0303	-0.0917	0.0014,-0.0033,0.0018	-0.0622	-0.0018,-0.0119,0.0137	-0.0009	-0.0008,0.0003,0.0005	NA	NA	-0.1351	-0.0166,-0.0144,0.031	NA	NA	Virus lost	756	Haploid
Evolved in pH 3	clone2	-0.116	-0.0078,-0.0015,0.0094	-0.0288	-0.0291,0.024,0.0051	NA	NA	NA	NA	-0.1114	0.043,-0.0158,-0.0272	NA	NA	-0.0717	0.0026,0.0117,-0.0143	0.0463	-0.0007,-0.0017,0.0024	-0.1288	-0.0187,0.0103,0.0084	-0.0638	0.0036,-0.0003,-0.0033	-0.074	-0.0005,-0.0065,0.007	-0.0014	0.0005,-0.0016,0.0012	NA	NA	-0.1366	0.0024,-0.0204,0.018	NA	NA	Virus lost	756	Haploid
Evolved in pH 3	clone3	-0.1224	-0.014,0.0081,0.0058	-0.1072	-0.0244,0.0119,0.0124	NA	NA	NA	NA	-0.1007	0.0316,-0.0591,0.0274	NA	NA	-0.0488	-0.005,0.0086,-0.0036	0.0424	-0.0034,0.0002,0.0031	-0.1326	0.0091,0.0346,-0.0437	-0.124	0.0017,-0.0031,0.0014	-0.0152	0.0013,-0.0025,0.0011	-0.0011	0.0013,-0.0032,0.0019	NA	NA	-0.0744	0.0063,-0.012,0.0056	NA	NA	Virus lost	756	Haploid
Evolved in pH 3	clone4	-0.1321	-0.0099,0.0041,0.0058	-0.113	-0.0183,0.009,0.0092	NA	NA	NA	NA	-0.1217	0.0411,0.0139,-0.055	NA	NA	-0.0262	0.0007,0.0094,-0.0101	0.0396	0.0019,-0.0016,-0.0003	-0.1736	0.012,0.0131,-0.0251	-0.1168	0.0021,-0.0018,-0.0003	-0.0043	-0.0041,0.0017,0.0024	0.0083	-0.0004,-0.0024,0.0028	NA	NA	-0.0753	0.0022,-0.0075,0.0053	NA	NA	Virus lost	756	Haploid
Evolved in pH 3	clone5	0.0316	-0.0004,0.0016,-0.0013	-0.0743	0.0022,-0.0083,0.0061	NA	NA	NA	NA	0.0141	0.0015,-0.0021,0.0006	NA	NA	-0.0252	0.0096,-0.0033,-0.0063	0.039	0.0015,-0.0012,-0.0003	0.0259	-0.0013,0.0007,0.0006	-0.0262	0.0015,-0.0034,0.002	-0.0839	-0.0101,-0.0095,0.0195	0.0101	-0.0001,-0.0022,0.0023	NA	NA	0.0328	0.0018,-0.0011,-0.0007	NA	NA	Virus retained	756	Haploid
Evolved in pH 3	clone6	-0.1445	0.0045,0.0035,-0.008	-0.1191	-0.0081,0.0072,0.0009	NA	NA	NA	NA	-0.1768	0.0469,-0.033,-0.0139	NA	NA	-0.0315	0.0043,0.002,-0.0063	0.0194	0.001,-0.0024,0.0015	-0.2072	-0.0343,0.0153,0.019	-0.0512	0.0004,-0.0053,0.0049	-0.0282	0.0043,-0.0066,0.0023	0.0171	0.0015,-0.0003,-0.0012	NA	NA	-0.1549	0.0155,-0.0235,0.008	NA	NA	Virus lost	756	Haploid
Evolved in pH 3	clone7	-0.1294	0.0116,-0.0058,-0.0058	-0.0618	-0.0014,-0.0027,0.004	NA	NA	NA	NA	-0.1165	0.0435,-0.0336,-0.0099	NA	NA	-0.0609	0.0021,0.0084,-0.0105	0.0201	-0.002,-0.0013,0.0033	-0.1534	0.0227,0.0036,-0.0263	-0.0526	0.0031,-0.0012,-0.0019	-0.0503	-0.0035,0.0015,0.0021	0.0177	-0.0002,-0.003,0.0032	NA	NA	-0.1616	-0.007,-0.0112,0.0182	NA	NA	Virus lost	756	Undetermined
Evolved in pH 3	clone8	-0.1152	-0.0084,0.0071,0.0014	-0.1147	-0.014,0.0112,0.0028	NA	NA	NA	NA	-0.262	0.0531,-0.0463,-0.0068	NA	NA	-0.0364	0.0036,0.0046,-0.0082	0.0153	-0.0002,-0.0035,0.0036	-0.2041	0.0144,0.0054,-0.0198	-0.0304	-0.0032,0.0014,0.0018	-0.016	-0.0002,-0.0052,0.0054	0.0303	-0.0013,-0.0013,0.0026	NA	NA	-0.1635	0.0115,-0.0143,0.0028	NA	NA	Virus lost	756	Haploid
Evolved in pH 3	clone9	-0.1281	0.0036,0.0003,-0.0039	-0.1066	-0.0052,0.0062,-0.0009	NA	NA	NA	NA	-0.1351	-0.0061,-0.0266,0.0327	NA	NA	-0.0628	0.0036,0.0035,-0.007	0.0244	0.0008,-0.0048,0.004	-0.169	0.0171,0.0099,-0.027	-0.0446	0.0011,-0.002,0.0008	-0.0134	-0.0019,0.0007,0.0013	0.0148	0.0006,-0.0025,0.0018	NA	NA	-0.1682	0.0249,-0.02,-0.0049	NA	NA	Virus lost	756	Haploid
Evolved in pH 3	clone11	0.0217	-0.0011,-0.0004,0.0016	-0.047	0.0085,-0.0011,-0.0074	NA	NA	NA	NA	0.0223	-0.0021,-0.0052,0.0072	NA	NA	0.0007	-0.0009,0.0024,-0.0015	0.0219	-0.0017,-0.0002,0.0019	0.0222	-0.002,0.0013,0.0006	-0.0176	-0.0007,0.0023,-0.0016	-0.0328	0.0043,-0.0095,0.0052	0.0101	0.0006,-0.0015,0.0009	NA	NA	0.018	0.0019,-0.0007,-0.0012	NA	NA	Virus retained	756	Haploid
Evolved in pH 3	clone12	-0.0437	-0.0078,-0.0001,0.0078	-0.0736	-0.0072,0.001,0.0063	NA	NA	NA	NA	-0.261	0.0133,0.0192,-0.0325	NA	NA	-0.0162	-0.005,0.0006,0.0044	-0.0027	-0.004,-0.0002,0.0042	-0.1695	-0.0032,0.0165,-0.0133	-0.0632	-0.0027,-0.0005,0.0032	-0.001	-0.0045,-0.0025,0.0071	0.0088	-0.0013,0.0018,-0.0005	NA	NA	-0.1255	-0.0064,-0.0109,0.0172	NA	NA	Virus lost	756	Diploid
Evolved in pH 3	clone13	-0.1082	0.0005,-0.007,0.0065	-0.0446	-0.0319,0.0061,0.0259	NA	NA	NA	NA	-0.0925	-0.0307,0.0559,-0.0252	NA	NA	-0.0983	-0.0054,0.0078,-0.0023	-0.0221	0.0038,-0.0076,0.0038	-0.1475	0.0304,-0.001,-0.0293	-0.085	0.0037,-0.0035,-0.0003	-0.0555	-0.0002,-0.005,0.0052	0.0076	-0.0,-0.0004,0.0004	NA	NA	-0.0984	0.0128,-0.029,0.0162	NA	NA	Virus lost	756	Undetermined
Evolved in pH 3	clone14	-0.102	0.0053,-0.0239,0.0186	-0.0741	-0.0282,0.0088,0.0194	NA	NA	NA	NA	-0.135	0.0107,-0.0214,0.0107	NA	NA	-0.0893	0.0002,0.0045,-0.0047	-0.0275	-0.0031,0.004,-0.0009	-0.1428	0.0319,0.0285,-0.0605	-0.0813	0.0026,-0.0053,0.0028	-0.0501	-0.0025,-0.003,0.0055	-0.0023	-0.0003,0.0002,0.0001	NA	NA	-0.1147	-0.0071,-0.0106,0.0177	NA	NA	Virus lost	756	Haploid
Evolved in pH 3	clone16	0.0197	0.0026,-0.0006,-0.0021	-0.0241	-0.0058,0.0039,0.0019	NA	NA	NA	NA	0.0182	-0.0014,-0.0007,0.0021	NA	NA	-0.0038	0.0022,0.0007,-0.0029	0.0121	-0.002,-0.0029,0.005	0.0145	-0.0012,-0.0037,0.0049	-0.0044	0.0003,-0.0011,0.0008	-0.0222	-0.0005,0.0024,-0.002	0.0225	0.0001,-0.0023,0.0022	NA	NA	0.0182	0.0036,0.0003,-0.0039	NA	NA	Virus retained	756	Haploid
Evolved in pH 3	clone17	-0.1257	-0.0038,-0.0039,0.0077	-0.1337	0.0064,-0.0037,-0.0027	NA	NA	NA	NA	-0.1749	0.0362,-0.0296,-0.0066	NA	NA	-0.0459	-0.0017,0.0075,-0.0057	0.0106	-0.0002,-0.0015,0.0017	-0.1644	0.0185,0.0387,-0.0572	-0.0372	0.0016,-0.0048,0.0032	-0.0282	-0.0009,0.0017,-0.0008	0.0479	-0.0028,0.0023,0.0005	NA	NA	-0.1072	0.0387,-0.0347,-0.004	NA	NA	Virus lost	756	Haploid
Evolved in pH 3	clone18	-0.1392	-0.0087,-0.0082,0.0169	-0.1145	-0.0053,0.0074,-0.002	NA	NA	NA	NA	-0.1332	0.0072,-0.0538,0.0466	NA	NA	-0.0726	0.0036,-0.001,-0.0026	-0.0262	-0.0028,0.0005,0.0023	-0.1684	0.0123,0.0106,-0.0229	-0.0834	0.0002,-0.0038,0.0036	-0.0703	-0.0004,-0.0009,0.0013	0.0376	-0.0004,-0.002,0.0024	NA	NA	-0.1336	0.027,-0.0491,0.0221	NA	NA	Virus lost	756	Haploid
Evolved in pH 3	clone19	-0.1224	-0.0099,0.0063,0.0036	-0.0856	-0.0054,0.0044,0.001	NA	NA	NA	NA	-0.1332	0.0011,-0.015,0.0139	NA	NA	-0.0601	-0.0053,0.0108,-0.0055	0.0087	-0.0003,0.0016,-0.0013	-0.1587	-0.0156,0.034,-0.0184	-0.0702	0.0001,-0.0025,0.0025	-0.046	-0.0005,-0.0002,0.0007	0.0547	-0.0075,0.003,0.0045	NA	NA	-0.1542	-0.0008,-0.0118,0.0126	NA	NA	Virus lost	756	Diploid
Evolved in pH 3	clone20	-0.1331	0.0007,-0.0034,0.0028	-0.1293	-0.0081,0.0083,-0.0002	NA	NA	NA	NA	-0.1526	0.0339,-0.0113,-0.0226	NA	NA	-0.0767	0.0014,0.0057,-0.0071	0.0381	-0.0016,-0.0021,0.0037	-0.1639	-0.0128,0.022,-0.0092	-0.0554	0.0032,-0.005,0.0018	-0.0496	-0.0032,-0.0022,0.0054	0.0166	0.0004,-0.0023,0.0019	NA	NA	-0.1538	-0.0155,0.0019,0.0136	NA	NA	Virus lost	756	Haploid
Evolved in pH 3.8	clone1	0.0074	0.0026,0.0006,-0.0033	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0185	0.0009,-0.001,0.0001	0.0129	-0.0003,-0.0005,0.0008	-0.0213	0.0014,0.0008,-0.0022	-0.0306	0.004,-0.0074,0.0034	NA	NA	NA	NA	NA	NA	NA	NA	Virus retained	756	Haploid
Evolved in pH 3.8	clone2	0.0179	0.0004,0.005,-0.0054	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0064	-0.0037,0.0028,0.0009	0.0171	-0.0024,0.0001,0.0024	-0.0061	-0.0032,0.0007,0.0025	-0.0177	0.0028,-0.0049,0.002	NA	NA	NA	NA	NA	NA	NA	NA	Virus retained	756	Haploid
Evolved in pH 3.8	clone3	0.0147	0.0019,0.0013,-0.0032	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0196	0.0022,-0.0002,-0.002	0.0161	-0.0009,-0.0015,0.0024	-0.0024	0.0024,-0.0013,-0.0011	-0.0114	-0.0005,0.0019,-0.0013	NA	NA	NA	NA	NA	NA	NA	NA	Virus retained	756	Undetermined
Evolved in pH 3.8	clone4	0.0133	0.0035,0.0009,-0.0045	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0104	-0.0014,-0.0021,0.0034	0.0195	-0.0053,0.0011,0.0042	-0.0049	-0.0007,0.0005,0.0003	-0.0047	-0.0101,-0.0019,0.012	NA	NA	NA	NA	NA	NA	NA	NA	Virus retained	756	Diploid
Evolved in pH 3.8	clone5	0.0068	-0.0011,0.005,-0.0039	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0036	0.0034,-0.0026,-0.0008	0.0161	0.001,-0.0002,-0.0008	-0.0187	-0.0018,0.0015,0.0004	-0.0605	0.0022,-0.0043,0.002	NA	NA	NA	NA	NA	NA	NA	NA	Virus retained	756	Undetermined
Evolved in pH 3.8	clone6	-0.0759	0.0041,-0.0067,0.0025	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0284	-0.0049,0.0005,0.0044	-0.0764	-0.0088,-0.0016,0.0104	-0.0562	-0.0056,0.0044,0.0011	-0.0443	0.0021,-0.0033,0.0013	NA	NA	NA	NA	NA	NA	NA	NA	Virus lost	756	Haploid
Evolved in pH 3.8	clone7	0.0145	-0.0037,-0.0014,0.0051	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.02	-0.0041,0.0003,0.0038	0.0167	0.0017,-0.0037,0.002	0.0099	0.0039,-0.0031,-0.0008	-0.0062	-0.004,0.0022,0.0018	NA	NA	NA	NA	NA	NA	NA	NA	Virus retained	756	Undetermined
Evolved in pH 3.8	clone8	-0.0019	0.0029,0.0026,-0.0055	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0313	-0.0029,-0.0023,0.0052	0.013	-0.0017,-0.001,0.0028	-0.0033	-0.0041,-0.0015,0.0056	-0.0057	0.0003,-0.0018,0.0015	NA	NA	NA	NA	NA	NA	NA	NA	Virus retained	756	Diploid
Evolved in pH 3.8	clone9	0.0125	0.006,-0.0068,0.0008	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0203	-0.002,0.0014,0.0007	0.0052	-0.0001,-0.002,0.002	0.0026	-0.0006,0.0003,0.0003	-0.0049	-0.0018,0.0018,0.0	NA	NA	NA	NA	NA	NA	NA	NA	Virus retained	756	Undetermined
Evolved in pH 3.8	clone10	0.0084	0.001,-0.0013,0.0003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0117	-0.002,0.0007,0.0012	-0.0005	-0.0021,0.0006,0.0015	0.01	0.0019,-0.0015,-0.0004	0.018	-0.0032,0.0044,-0.0013	NA	NA	NA	NA	NA	NA	NA	NA	Virus retained	756	Undetermined
Evolved in pH 3.8	clone11	0.0082	0.0015,-0.0054,0.0039	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.003	-0.0015,0.0011,0.0004	0.0179	-0.0008,-0.0016,0.0025	-0.0161	-0.0019,0.002,-0.0001	-0.0446	-0.0075,-0.0002,0.0077	NA	NA	NA	NA	NA	NA	NA	NA	Virus retained	756	Undetermined
Evolved in pH 3.8	clone12	0.0091	-0.0002,0.0006,-0.0004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0019	-0.0062,0.0055,0.0007	0.0114	0.0009,-0.0001,-0.0008	0.0082	-0.0009,0.0012,-0.0003	-0.0098	-0.0021,0.0013,0.0009	NA	NA	NA	NA	NA	NA	NA	NA	Virus retained	756	Undetermined
Evolved in pH 3.8	clone13	0.016	-0.0031,0.0048,-0.0018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0146	0.0012,-0.0013,0.0002	0.0141	-0.0001,-0.0041,0.0041	-0.0275	0.0011,0.0007,-0.0018	-0.055	0.0015,-0.001,-0.0005	NA	NA	NA	NA	NA	NA	NA	NA	Virus retained	756	Undetermined
Evolved in pH 3.8	clone14	0.0126	-0.0024,0.0034,-0.001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0488	-0.0034,-0.0002,0.0037	0.0017	0.0015,-0.003,0.0014	-0.0106	0.0026,0.0008,-0.0034	-0.0071	0.0017,0.0006,-0.0024	NA	NA	NA	NA	NA	NA	NA	NA	Virus retained	756	Undetermined
Evolved in pH 3.8	clone15	0.0106	-0.0003,-0.0005,0.0008	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0074	0.0011,0.0037,-0.0048	0.0178	-0.0018,-0.0008,0.0026	-0.0056	-0.0027,0.0029,-0.0002	-0.0406	0.0019,0.0013,-0.0032	NA	NA	NA	NA	NA	NA	NA	NA	Virus retained	756	Undetermined
Evolved in pH 3.8	clone17	0.0113	0.0016,-0.0015,-0.0002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0091	-0.0049,0.0044,0.0005	0.0157	0.0003,-0.0007,0.0004	-0.0149	-0.0006,0.0009,-0.0003	-0.0394	-0.0019,-0.0014,0.0033	NA	NA	NA	NA	NA	NA	NA	NA	Virus retained	756	Undetermined
Evolved in pH 3.8	clone18	0.017	-0.001,0.0016,-0.0006	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0069	-0.0023,0.0051,-0.0028	0.0214	-0.0,-0.0015,0.0015	-0.007	-0.001,-0.0003,0.0012	-0.0344	-0.0007,0.0002,0.0004	NA	NA	NA	NA	NA	NA	NA	NA	Virus retained	756	Undetermined
Evolved in pH 3.8	clone19	0.0083	-0.0045,-0.0004,0.0049	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0076	-0.0038,0.0026,0.0011	0.017	0.0001,-0.0003,0.0002	-0.0178	-0.0013,0.0018,-0.0005	-0.0519	-0.0009,0.0006,0.0003	NA	NA	NA	NA	NA	NA	NA	NA	Virus retained	756	Undetermined
